nu_cm^-1,lambda_nm,k_cm^-1,sigma_cm2_per_molecule
10750.729545,930.1694325154749,2.8394451893759964e-23,1.1142755088227403e-42
10750.719545,930.1702977314529,2.839731178895971e-23,1.1143877388876419e-42
10750.709545,930.1711629490405,2.840017182597372e-23,1.1144999745177205e-42
10750.699545,930.1720281682377,2.8403032004702275e-23,1.1146122157090635e-42
10750.689545,930.1728933890446,2.8405892325045657e-23,1.1147244624577573e-42
10750.679544999999,930.1737586114609,2.840875278690394e-23,1.1148367147598808e-42
10750.669544999999,930.174623835487,2.84116133901774e-23,1.1149489726115202e-42
10750.659545,930.1754890611224,2.8414474134765714e-23,1.1150612360087389e-42
10750.649545,930.1763542883677,2.8417335020569815e-23,1.115173504947649e-42
10750.639545,930.1772195172227,2.8420196047489126e-23,1.115285779424304e-42
10750.629545,930.1780847476872,2.8423057215423703e-23,1.1153980594347812e-42
10750.619545,930.1789499797615,2.8425918524273233e-23,1.1155103449751444e-42
10750.609545,930.1798152134453,2.8428779973937753e-23,1.1156226360414708e-42
10750.599545,930.1806804487387,2.843164156431675e-23,1.115734932629816e-42
10750.589544999999,930.1815456856418,2.8434503295310396e-23,1.1158472347362623e-42
10750.579545,930.1824109241545,2.843736516681718e-23,1.1159595423568262e-42
10750.569545,930.1832761642769,2.844022717873804e-23,1.1160718554876204e-42
10750.559545,930.184141406009,2.8443089330971993e-23,1.116184174124682e-42
10750.549545,930.1850066493508,2.8445951623418544e-23,1.116296498264067e-42
10750.539545,930.1858718943023,2.8448814055976985e-23,1.1164088279018239e-42
10750.529545,930.1867371408633,2.8451676628546795e-23,1.1165211630340076e-42
10750.519545,930.1876023890342,2.845453934102713e-23,1.1166335036566605e-42
10750.509544999999,930.1884676388147,2.8457402193317287e-23,1.1167458497658313e-42
10750.499545,930.1893328902047,2.8460265185315865e-23,1.1168582013575404e-42
10750.489545,930.1901981432046,2.8463128316923006e-23,1.1169705584278691e-42
10750.479545,930.1910633978142,2.846599158803747e-23,1.1170829209728446e-42
10750.469545,930.1919286540335,2.8468854998558134e-23,1.1171952889884985e-42
10750.459545,930.1927939118625,2.84717185483839e-23,1.1173076624708635e-42
10750.449545,930.1936591713012,2.847458223741357e-23,1.1174200414159681e-42
10750.439545,930.1945244323497,2.8477446065546155e-23,1.1175324258198494e-42
10750.429544999999,930.1953896950079,2.8480310032680474e-23,1.1176448156785368e-42
10750.419544999999,930.1962549592757,2.848317413871502e-23,1.1177572109880468e-42
10750.409545,930.1971202251532,2.84860383835481e-23,1.1178696117443888e-42
10750.399545,930.1979854926406,2.848890276707943e-23,1.1179820179436271e-42
10750.389545,930.1988507617377,2.849176728920681e-23,1.1180944295817515e-42
10750.379545,930.1997160324445,2.849463194982889e-23,1.1182068466547844e-42
10750.369545,930.2005813047612,2.84974967488441e-23,1.1183192691587401e-42
10750.359545,930.2014465786875,2.8500361686150674e-23,1.1184316970896252e-42
10750.349545,930.2023118542236,2.8503226761647097e-23,1.1185441304434556e-42
10750.339544999999,930.2031771313694,2.8506091975231586e-23,1.1186565692162373e-42
10750.329545,930.204042410125,2.85089573268017e-23,1.1187690134039503e-42
10750.319545,930.2049076904904,2.851182281625674e-23,1.1188814630026424e-42
10750.309545,930.2057729724656,2.851468844349432e-23,1.1189939180082963e-42
10750.299545,930.2066382560506,2.851755420841242e-23,1.119106378416908e-42
10750.289545,930.2075035412454,2.8520420110908945e-23,1.1192188442244715e-42
10750.279545,930.2083688280499,2.8523286150881744e-23,1.1193313154269777e-42
10750.269545,930.2092341164642,2.8526152328228813e-23,1.119443792020424e-42
10750.259544999999,930.2100994064884,2.8529018642848044e-23,1.119556274000803e-42
10750.249545,930.2109646981222,2.8531885094636475e-23,1.1196687613640746e-42
10750.239545,930.211829991366,2.853475168349298e-23,1.11978125410627e-42
10750.229545,930.2126952862196,2.8537618409314386e-23,1.1198937522233408e-42
10750.219545,930.2135605826829,2.854048527199849e-23,1.120006255711276e-42
10750.209545,930.2144258807562,2.854335227144276e-23,1.120118764566052e-42
10750.199545,930.2152911804393,2.854621940754484e-23,1.120231278783652e-42
10750.189545,930.2161564817321,2.854908668020163e-23,1.1203437983600302e-42
10750.179544999999,930.2170217846349,2.8551954089310914e-23,1.1204563232911754e-42
10750.169544999999,930.2178870891474,2.855482163476988e-23,1.120568853573053e-42
10750.159545,930.2187523952697,2.855768931647508e-23,1.1206813892016033e-42
10750.149545,930.2196177030019,2.856055713432486e-23,1.1207939301728368e-42
10750.139545,930.220483012344,2.856342508821577e-23,1.1209064764826946e-42
10750.129545,930.221348323296,2.856629317804477e-23,1.1210190281271325e-42
10750.119545,930.2222136358578,2.8569161403708943e-23,1.1211315851021123e-42
10750.109545,930.2230789500295,2.8572029765105244e-23,1.1212441474035895e-42
10750.099545,930.223944265811,2.857489826213037e-23,1.121356715027511e-42
10750.089544999999,930.2248095832025,2.857776689468138e-23,1.1214692879698365e-42
10750.079545,930.2256749022037,2.8580635662654283e-23,1.1215818662264853e-42
10750.069545,930.2265402228148,2.858350456594705e-23,1.1216944497934537e-42
10750.059545,930.2274055450359,2.858637360445571e-23,1.1218070386666615e-42
10750.049545,930.228270868867,2.8589242778076683e-23,1.1219196328420438e-42
10750.039545,930.2291361943079,2.8592112086706845e-23,1.1220322323155538e-42
10750.029545,930.2300015213586,2.859498153024223e-23,1.1221448370831114e-42
10750.019545,930.2308668500193,2.8597851108579746e-23,1.1222574471406716e-42
10750.009544999999,930.23173218029,2.8600720821615247e-23,1.122370062484147e-42
10749.999545,930.2325975121704,2.8603590669244786e-23,1.1224826831094582e-42
10749.989545,930.2334628456608,2.8606460651365684e-23,1.1225953090125763e-42
10749.979545,930.2343281807612,2.8609330767873375e-23,1.1227079401893975e-42
10749.969545,930.2351935174715,2.8612201018664145e-23,1.122820576635852e-42
10749.959545,930.2360588557917,2.861507140363407e-23,1.1229332183478614e-42
10749.949545,930.2369241957219,2.8617941922679086e-23,1.123045865321342e-42
10749.939545,930.2377895372621,2.8620812575695177e-23,1.1231585175522117e-42
10749.929544999999,930.2386548804121,2.8623683362578286e-23,1.1232711750363873e-42
10749.919544999999,930.2395202251722,2.862655428322408e-23,1.1233838377697743e-42
10749.909545,930.240385571542,2.862942533752786e-23,1.1234965057482647e-42
10749.899545,930.2412509195219,2.8632296525386475e-23,1.1236091789678096e-42
10749.889545,930.2421162691119,2.863516784669506e-23,1.1237218574242941e-42
10749.879545,930.2429816203118,2.8638039301349075e-23,1.1238345411136162e-42
10749.869545,930.2438469731217,2.8640910889244315e-23,1.1239472300316861e-42
10749.859545,930.2447123275415,2.8643782610275917e-23,1.124059924174389e-42
10749.849545,930.2455776835712,2.864665446433962e-23,1.1241726235376332e-42
10749.839544999999,930.2464430412111,2.86495264513306e-23,1.1242853281173055e-42
10749.829545,930.2473084004607,2.8652398571143625e-23,1.1243980379092758e-42
10749.819545,930.2481737613206,2.8655270823675174e-23,1.124510752909482e-42
10749.809545,930.2490391237903,2.86581432088198e-23,1.1246234731137858e-42
10749.799545,930.2499044878701,2.8661015726472674e-23,1.1247361985180737e-42
10749.789545,930.25076985356,2.86638883765287e-23,1.1248489291182214e-42
10749.779545,930.2516352208598,2.866676115888306e-23,1.1249616649101156e-42
10749.769545,930.2525005897697,2.8669634073430814e-23,1.1250744058896379e-42
10749.759544999999,930.2533659602896,2.867250712006655e-23,1.1251871520526519e-42
10749.749545,930.2542313324193,2.8675380298684885e-23,1.125299903395022e-42
10749.739545,930.2550967061593,2.86782536091815e-23,1.1254126599126542e-42
10749.729545,930.2559620815092,2.868112705145065e-23,1.1255254216013995e-42
10749.719545,930.2568274584693,2.8684000625386966e-23,1.1256381884571221e-42
10749.709545,930.2576928370394,2.868687433088513e-23,1.1257509604756893e-42
10749.699545,930.2585582172195,2.868974816783956e-23,1.1258637376529583e-42
10749.689545,930.2594235990097,2.869262213614485e-23,1.125976519984792e-42
10749.679544999999,930.26028898241,2.869549623569549e-23,1.1260893074670501e-42
10749.669544999999,930.2611543674202,2.869837046638561e-23,1.126202100095578e-42
10749.659545,930.2620197540405,2.870124482810926e-23,1.1263148978662178e-42
10749.649545,930.2628851422709,2.8704119320761607e-23,1.1264277007748561e-42
10749.639545,930.2637505321114,2.870699394423646e-23,1.1265405088173251e-42
10749.629545,930.264615923562,2.870986869842785e-23,1.1266533219894665e-42
10749.619545,930.2654813166228,2.871274358322987e-23,1.1267661402871241e-42
10749.609545,930.2663467112935,2.8715618598536547e-23,1.1268789637061395e-42
10749.599545,930.2672121075744,2.871849374424184e-23,1.1269917922423512e-42
10749.589544999999,930.2680775054655,2.8721369020239663e-23,1.127104625891596e-42
10749.579545,930.2689429049664,2.872424442642345e-23,1.1272174646496921e-42
10749.569545,930.2698083060776,2.87271199626879e-23,1.1273303085125072e-42
10749.559545,930.2706737087989,2.8729995628926355e-23,1.1274431574758556e-42
10749.549545,930.2715391131303,2.8732871425032355e-23,1.1275560115355597e-42
10749.539545,930.2724045190719,2.873574735089946e-23,1.1276688706874425e-42
10749.529545,930.2732699266236,2.873862340642135e-23,1.1277817349273315e-42
10749.519545,930.2741353357854,2.8741499591491625e-23,1.1278946042510515e-42
10749.509544999999,930.2750007465575,2.874437590600363e-23,1.128007478654417e-42
10749.499545,930.2758661589394,2.874725234985002e-23,1.1281203581332154e-42
10749.489545,930.2767315729316,2.8750128922925393e-23,1.1282332426833107e-42
10749.479545,930.277596988534,2.875300562512256e-23,1.1283461323004962e-42
10749.469545,930.2784624057466,2.875588245633456e-23,1.1284590269805748e-42
10749.459545,930.2793278245692,2.8758759416454605e-23,1.1285719267193554e-42
10749.449545,930.2801932450021,2.876163650537575e-23,1.1286848315126416e-42
10749.439545,930.2810586670452,2.876451372299109e-23,1.1287977413562378e-42
10749.429544999999,930.2819240906985,2.876739106919349e-23,1.12891065624594e-42
10749.419544999999,930.2827895159618,2.8770268543875985e-23,1.1290235761775506e-42
10749.409545,930.2836549428353,2.877314614693082e-23,1.1291365011468408e-42
10749.399545,930.284520371319,2.8776023878251883e-23,1.1292494311496466e-42
10749.389545,930.285385801413,2.8778901737731395e-23,1.1293623661817385e-42
10749.379545,930.2862512331171,2.8781779725261943e-23,1.1294753062389013e-42
10749.369545,930.2871166664315,2.878465784073628e-23,1.1295882513169263e-42
10749.359545,930.2879821013561,2.878753608404687e-23,1.1297012014115935e-42
10749.349545,930.2888475378908,2.879041445508629e-23,1.1298141565186873e-42
10749.339544999999,930.2897129760357,2.879329295374682e-23,1.1299271166339806e-42
10749.329545,930.2905784157908,2.879617157992062e-23,1.1300400817532412e-42
10749.319545,930.2914438571562,2.879905033350087e-23,1.1301530518722776e-42
10749.309545,930.2923093001319,2.8801929214379295e-23,1.1302660269868404e-42
10749.299545,930.2931747447178,2.880480822244818e-23,1.1303790070927027e-42
10749.289545,930.2940401909138,2.880768735759951e-23,1.1304919921856259e-42
10749.279545,930.2949056387203,2.8810566619725564e-23,1.1306049822613824e-42
